number,vib
1280,-0.640938
1281,0.025403
1282,0.1915
1283,0.798241
1284,0.623351
1285,2
1286,0.245237
1287,1.292623
1288,1.322912
1289,0.774792
1290,0.941866
1291,0.847093
1292,0.88129
1293,0.745481
1294,-0.023449
1295,0.651685
1296,0.327308
1297,-0.084025
1298,0.204201
1299,0.282364
1300,-0.344895
1301,0.396678
1302,-0.463117
1303,0.123107
1304,0.18466
1305,-0.734734
1306,-0.595994
1307,0.028334
1308,0.048852
1309,-0.218857
1310,-0.021495
1311,-0.012702
1312,0.758183
1313,1.549585
1314,0.085002
1315,0.340987
1316,1.068881
1317,1.502687
1318,0.954568
1319,0.738642
1320,0.750366
1321,0.817782
1322,0.714216
1323,0.62042
1324,0.427943
1325,0.204201
1326,-0.038105
1327,-0.062531
1328,0.337079
1329,0.03615
1330,0.267709
1331,-1.673669
1332,0.224719
1333,0.137763
1334,0.104543
1335,-0.233512
1336,-0.076209
1337,0.211041
1338,0.067416
1339,-0.186615
1340,0.470933
1341,0.083048
1342,1.451881
1343,0.826575
1344,0.860772
1345,0.973131
1346,-1.038593
1347,0.964338
1348,0.962384
1349,1.051295
1350,0.67318
1351,-0.099658
1352,0.512946
1353,0.503175
1354,0.195408
1355,0.031265
1356,0.223742
1357,0.394724
1358,-0.115291
1359,-0.047875
1360,0.329262
1361,-0.424035
1362,0.102589
1363,0.104543
1364,0.010747
1365,-0.372252
1366,-0.010747
1367,-0.115291
1368,1.063019
1369,0.157303
1370,1.465559
1371,0.480703
1372,0.544211
1373,1.063019
1374,-0.043967
1375,0.990718
1376,0.810943
1377,0.75916
1378,0.958476
1379,0.700537
1380,0.635076
1381,0.572545
1382,0.24426
1383,0.14851
1384,0.047875
1385,0.083048
1386,-0.137763
1387,0.843185
1388,-0.33317
1389,-0.382022
1390,0.099658
1391,0.090865
1392,-0.132877
1393,-0.326331
1394,-0.192477
1395,0.001954
1396,-0.250122
1397,0.771861
1398,0.407426
1399,0.464094
1400,0.937958
1401,1.055203
1402,0.750366
1403,0.731803
1404,0.707377
1405,0.926234
1406,1.288715
1407,0.618466
1408,0.444553
1409,0.124084
1410,0.130923
1411,0.055691
1412,0.27064
1413,-0.210064
1414,1.57108
1415,-0.077186
1416,-0.283341
1417,-0.090865
1418,-0.067416
1419,-0.508061
1420,0.225696
1421,-0.125061
1422,-0.102589
1423,0.310699
1424,0.688813
1425,2
1426,0.25403
1427,1.347338
1428,0.88129
1429,0.677088
1430,0.959453
1431,0.580362
1432,1.0298
1433,0.670249
1434,-0.025403
1435,0.476795
1436,0.554958
1437,0.088911
1438,0.049829
1439,-0.124084
1440,-0.014656
1441,-0.537372
1442,0.135809
1443,-0.256961
1444,-0.582316
1445,0.353688
1446,-0.167074
1447,0.132877
1448,-0.088911
1449,-0.04299
1450,-0.187592
1451,0.102589
1452,0.355642
1453,1.489985
1454,0.370298
1455,0.97704
1456,1.801661
1457,0.865657
1458,1.134343
1459,0.753298
1460,1.090376
1461,-1.179287
1462,0.628236
1463,0.591109
1464,0.166097
1465,0.143625
1466,0.121153
1467,0.232535
1468,-0.509038
1469,0.53151
1470,-1.10894
1471,-0.250122
1472,0.234489
1473,-0.006839
1474,-0.043967
1475,-0.388862
1476,-0.080117
1477,-0.370298
1478,-0.598925
1479,0.367367
1480,0.293112
1481,0.415242
1482,0.275525
1483,1.238886
1484,0.993649
1485,0.599902
1486,1.393258
1487,0.698583
1488,0.973131
1489,0.85491
1490,0.72594
1491,0.255007
1492,0.10552
1493,0.173913
1494,0.092819
1495,0.372252
1496,-0.55789
1497,0.196385
1498,-1.1617
1499,-0.03615
1500,0.229604
1501,-0.585247
1502,0.070347
1503,0.109428
1504,0.198339
1505,0.823644
1506,0.644846
1507,0.859795
1508,0.443576
1509,1.068881
1510,1.232047
1511,1.236932
1512,1.096238
1513,0.414265
1514,0.949682
1515,1.093307
1516,0.714216
1517,0.411334
1518,0.387885
1519,0.083048
1520,0.47191
1521,-0.640938
1522,0.711285
1523,1.33659
1524,0.033219
1525,0.427943
1526,-0.640938
1527,-0.234489
1528,-0.434783
1529,0.171959
1530,-0.341964
1531,0.220811
1532,0.058622
1533,-0.357596
1534,0.623351
1535,0.302882
1536,0.809966
1537,1.42257
1538,1.451881
1539,0.936981
1540,1.197851
1541,0.942843
1542,0.91744
1543,0.570591
1544,0.431851
1545,0.451392
1546,0.246214
1547,-0.059599
1548,0.335125
1549,0.255984
1550,0.226673
1551,0.801172
1552,-1.394235
1553,0.027357
1554,-0.267709
1555,0.150464
1556,0.008793
1557,-0.735711
1558,0.022472
1559,-0.31363
1560,0.363459
1561,0.24426
1562,0.354665
1563,0.628236
1564,1.21446
1565,1.434294
1566,0.965315
1567,0.890083
1568,0.9702
1569,1.127504
1570,0.605765
1571,-0.080117
1572,0.568637
1573,0.453346
1574,0.051783
1575,-0.015633
1576,0.239375
1577,-1.024915
1578,0.510015
1579,-0.794333
1580,0.107474
1581,-0.044944
1582,-0.4553
1583,-0.134831
1584,-0.417196
1585,0.114314
1586,-0.071324
1587,0.255984
1588,0.274548
1589,-0.241329
1590,-1.070835
1591,-0.199316
1592,1.071812
1593,1.041524
1594,0.740596
1595,0.831461
1596,1.228139
1597,1.000489
1598,0.85491
1599,0.265755
1600,0.464094
1601,0.256961
1602,0.07914
1603,0.056668
1604,0.056668
1605,-1.035662
1606,0.591109
1607,-1.289692
1608,0.27064
1609,0.361505
1610,-0.613581
1611,0.208109
1612,-0.364436
1613,-0.004885
1614,-0.120176
1615,-0.324377
1616,0.237421
1617,-1.101124
1618,0.86468
1619,0.677088
1620,0.508061
1621,1.249634
1622,0.22765
1623,0.868588
1624,1.191011
1625,0.425012
1626,0.903762
1627,0.161212
1628,0.412311
1629,0.387885
1630,0.337079
1631,-0.002931
1632,0.330239
1633,-0.99658
1634,0.546165
1635,1.101124
1636,0.010747
1637,-0.329262
1638,-1.354177
1639,-0.186615
1640,-0.090865
1641,-0.289204
1642,0.02638
1643,-0.249145
1644,-0.425012
1645,0.579384
1646,1.313141
1647,0.847093
1648,0.147533
1649,1.008305
1650,1.249634
1651,0.771861
1652,1.063019
1653,0.400586
1654,0.961407
1655,0.644846
1656,0.807035
1657,0.373229
1658,0.246214
1659,-0.139717
1660,0.284319
1661,0.202247
1662,-0.046898
1663,0.602833
1664,-0.84807
1665,0.449438
1666,0.374206
1667,0.033219
1668,-0.049829
1669,-0.063508
1670,-0.346849
1671,-0.192477
1672,0.048852
1673,1.294577
1674,0.345872
1675,0.553004
1676,1.183195
1677,1.296532
1678,0.947728
1679,0.912555
1680,0.994626
1681,0.57743
1682,0.373229
1683,0.113337
1684,0.500244
1685,0.40254
1686,0.065462
1687,0.067416
1688,0.288227
1689,-0.678065
1690,-0.049829
1691,0.521739
1692,-0.596971
1693,-0.156326
1694,0.002931
1695,-0.548119
1696,-0.267709
1697,0.075232
1698,0.090865
1699,0.074255
1700,0.303859
1701,0.149487
1702,-0.442599
1703,0.415242
1704,0.338056
1705,1.144113
1706,1.11871
1707,0.790425
1708,0.991695
1709,0.770884
1710,1.129458
1711,-0.858818
1712,0.650708
1713,1.399121
1714,0.268686
1715,-0.06937
1716,0.26087
1717,0.468979
1718,-0.396678
1719,0.8383
1720,-0.590132
1721,-0.189546
1722,0.470933
1723,-0.121153
1724,-0.130923
1725,-0.52467
1726,-0.011724
1727,-0.123107
1728,-0.592086
1729,0.670249
1730,1.242794
1731,1.076698
1732,0.935027
1733,0.69956
1734,0.691744
1735,1.021983
1736,1.080606
1737,0.893991
1738,0.722032
1739,-0.089888
1740,0.330239
1741,0.487543
1742,0.194431
1743,0.151441
1744,0.495359
1745,0.314607
1746,-0.137763
1747,0.82853
1748,-1.399121
1749,0.149487
1750,0.154372
1751,-0.467025
1752,0.347826
1753,-0.146556
1754,-0.526624
1755,-0.126038
1756,0.298974
1757,0.132877
1758,-0.845139
1759,0.710308
1760,0.262824
1761,0.984856
1762,0.920371
1763,0.893014
1764,0.945774
1765,0.71617
1766,0.9702
1767,0.792379
1768,0.361505
1769,0.421104
1770,0.451392
1771,0.073278
1772,-0.09575
1773,0.097704
1774,-0.974108
1775,0.922325
1776,0.046898
1777,-0.130923
1778,0.37616
1779,-0.851979
1780,-0.364436
1781,-0.040059
1782,-0.375183
1783,0.317538
1784,0.150464
1785,-0.046898
1786,-1.168539
1787,1.489008
1788,-0.066439
1789,1.078652
1790,-2.000977
1791,0.839277
1792,1.133366
1793,0.693698
1794,0.902785
1795,-0.749389
1796,0.384954
1797,0.189546
1798,0.395701
1799,0.048852
1800,0.147533
1801,0.453346
1802,-1.083537
1803,0.432829
1804,0.634099
1805,-0.155349
1806,0.216903
1807,-0.704446
1808,-0.320469
